               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.019445,           0.0092444,                   0,             0.95792,             0.90176,             0.95965,             0.87962,            0.011981,           0.0041772,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.019592,           0.0091568,                   0,             0.95491,             0.91624,             0.96245,             0.89127,            0.011317,           0.0041621,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.018968,            0.009293,                   0,             0.95329,             0.92037,             0.95885,             0.88405,            0.010856,           0.0041407,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.019311,           0.0092501,                   0,              0.9559,             0.92244,             0.96292,             0.89143,            0.011178,           0.0040891,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.019584,           0.0089795,                   0,             0.96163,             0.90705,             0.96169,             0.89111,            0.011174,           0.0040882,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,             0.01915,           0.0094633,                   0,              0.9745,             0.88211,             0.95418,              0.8867,             0.01114,           0.0043074,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.019816,            0.009614,                   0,             0.96603,             0.91153,             0.96484,             0.89654,            0.010966,           0.0041445,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.019325,           0.0094318,                   0,             0.95644,             0.89245,             0.95711,             0.88598,            0.010933,           0.0043417,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.019707,           0.0093115,                   0,             0.96093,             0.91568,             0.96089,             0.88978,            0.010806,           0.0041358,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.018363,           0.0086864,                   0,             0.96401,             0.92554,             0.96821,             0.90011,            0.010724,           0.0038518,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.018778,           0.0092305,                   0,             0.96307,              0.9152,             0.96832,             0.90338,            0.010681,           0.0040275,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.018005,           0.0085631,                   0,             0.96442,              0.9121,             0.96592,             0.89792,             0.01064,           0.0040469,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.019301,           0.0087723,                   0,             0.96344,             0.89924,             0.95835,             0.89341,            0.010843,           0.0041521,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.018338,           0.0086697,                   0,              0.9644,             0.89647,             0.95951,             0.89045,            0.010953,           0.0040906,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,             0.01872,           0.0089631,                   0,               0.956,             0.91417,             0.95583,             0.89108,             0.01074,           0.0041606,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.018114,           0.0089001,                   0,             0.96088,             0.91438,             0.96145,             0.89262,            0.010815,           0.0040007,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.018266,           0.0088743,                   0,             0.96427,             0.92091,             0.96679,             0.89635,            0.010619,           0.0038989,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.018792,           0.0089085,                   0,             0.96252,             0.92347,             0.96426,             0.90117,            0.010442,           0.0040142,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.019595,           0.0089589,                   0,              0.9547,             0.91532,              0.9603,             0.89674,             0.01091,           0.0039864,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.018373,           0.0088831,                   0,             0.96796,             0.90607,               0.958,              0.8972,            0.010633,           0.0042588,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.019162,           0.0090864,                   0,             0.96678,             0.90289,             0.95591,             0.89805,            0.010656,           0.0042156,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.017872,           0.0088126,                   0,             0.95957,              0.9152,             0.96186,             0.90039,            0.010532,           0.0039954,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.018565,           0.0090273,                   0,             0.96544,             0.90589,             0.96374,             0.89861,            0.010642,           0.0039995,                   0,            0.008614,            0.008614,            0.008614
                  72,             0.01772,           0.0083897,                   0,             0.95283,             0.91313,             0.96191,             0.89776,            0.010673,           0.0041296,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.017896,            0.008941,                   0,             0.96021,             0.89834,             0.95839,             0.89641,            0.010813,           0.0040796,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.018232,           0.0084947,                   0,              0.9601,             0.92065,             0.96486,             0.90743,            0.010133,           0.0037561,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.018298,            0.008853,                   0,             0.97034,             0.91343,             0.96574,             0.90502,            0.010384,           0.0038251,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.018671,           0.0092117,                   0,             0.96375,             0.91624,             0.96435,              0.8996,            0.010401,           0.0038781,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.017756,           0.0085583,                   0,              0.9691,             0.90797,             0.96093,             0.90569,            0.010277,           0.0040972,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.018347,           0.0086109,                   0,              0.9504,             0.91624,             0.96495,             0.90546,            0.010295,           0.0040175,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.017393,            0.007931,                   0,              0.9608,             0.91254,             0.96448,             0.90803,            0.010294,           0.0038677,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,              0.0181,           0.0083742,                   0,             0.96491,             0.90998,             0.96099,             0.90233,            0.010112,           0.0039355,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.017242,           0.0082901,                   0,             0.97134,             0.89866,             0.95964,             0.90334,            0.010527,           0.0041008,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.018123,           0.0084753,                   0,             0.96538,             0.92272,             0.96484,             0.90403,            0.010137,           0.0039485,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.017923,           0.0084685,                   0,             0.96689,             0.90602,             0.96442,             0.90947,            0.010093,           0.0038633,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.017611,           0.0082485,                   0,             0.98167,             0.89555,             0.95522,             0.90444,             0.01042,           0.0041198,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.017749,           0.0085308,                   0,              0.9639,             0.91107,             0.96349,             0.90654,           0.0099107,            0.003951,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.017951,           0.0082124,                   0,             0.96254,             0.90333,             0.96095,             0.90411,                0.01,           0.0039964,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.017533,           0.0087216,                   0,              0.9562,               0.909,             0.95747,             0.89747,            0.010128,           0.0040429,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.017242,           0.0079942,                   0,             0.96864,             0.89448,             0.95692,             0.90418,           0.0099623,           0.0041076,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.018682,           0.0088473,                   0,             0.96011,             0.91417,             0.96304,              0.9077,            0.010149,           0.0038734,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.017587,            0.008729,                   0,             0.96847,             0.92123,             0.95591,             0.90009,            0.010334,           0.0040737,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.018164,           0.0085665,                   0,              0.9661,             0.90383,             0.96139,             0.90738,           0.0098493,           0.0039655,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.017087,           0.0085772,                   0,             0.96357,              0.9121,             0.96439,             0.90811,            0.010016,           0.0038062,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.017323,           0.0085318,                   0,             0.97004,             0.91003,              0.9667,             0.91191,            0.010082,            0.003833,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.017753,           0.0086138,                   0,             0.96475,             0.90579,             0.96157,             0.90322,           0.0099035,           0.0039746,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.017309,           0.0080921,                   0,             0.96713,             0.91284,             0.96595,             0.90849,            0.010238,           0.0037102,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.017855,           0.0086522,                   0,             0.95502,             0.92216,             0.96505,             0.91102,           0.0099879,           0.0038432,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.016723,            0.008329,                   0,             0.96709,             0.91157,             0.96332,             0.91012,           0.0098994,           0.0038594,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.016853,           0.0079345,                   0,             0.97732,             0.91003,             0.96782,             0.91666,           0.0098146,           0.0037215,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.017601,            0.008441,                   0,             0.95808,             0.92187,             0.96411,             0.90751,            0.010053,           0.0037158,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,             0.01627,           0.0079942,                   0,             0.95433,             0.92922,             0.96542,             0.91408,           0.0099487,           0.0036512,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.017342,           0.0080706,                   0,             0.96298,              0.9152,             0.96625,             0.91534,           0.0095625,           0.0037265,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.016855,           0.0079663,                   0,             0.94177,             0.93588,             0.96865,             0.91599,           0.0095434,            0.003671,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,             0.01686,           0.0082038,                   0,             0.97127,             0.90896,             0.96664,             0.91831,            0.009642,           0.0037082,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.017153,           0.0082146,                   0,             0.94652,             0.93071,             0.96801,             0.91639,           0.0096122,           0.0036795,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.017376,           0.0085433,                   0,             0.95218,             0.92669,             0.96364,             0.91532,           0.0095754,           0.0037481,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.015897,           0.0078265,                   0,             0.96551,             0.92141,             0.96693,             0.91853,           0.0094258,           0.0035692,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.016941,            0.007843,                   0,             0.95307,             0.92406,             0.96262,              0.9147,            0.009815,           0.0037138,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.017454,           0.0084919,                   0,             0.96569,              0.9152,             0.96335,             0.91497,           0.0098118,           0.0036506,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.017351,           0.0086258,                   0,             0.95355,             0.92244,             0.96449,             0.91588,           0.0096826,           0.0036827,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.017195,           0.0080563,                   0,             0.95365,             0.93278,             0.96745,             0.92073,            0.009645,           0.0036485,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.016856,           0.0081899,                   0,              0.9637,              0.9059,             0.96501,             0.91515,            0.009684,           0.0038033,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.016433,           0.0079607,                   0,             0.95707,             0.92222,             0.96626,             0.91945,           0.0097347,           0.0037649,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.016213,           0.0080602,                   0,             0.96755,             0.91313,              0.9673,             0.91764,           0.0095122,           0.0036462,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.017047,           0.0082322,                   0,             0.96711,             0.91211,             0.96585,             0.91507,           0.0096392,           0.0037158,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.016095,           0.0078453,                   0,             0.96426,             0.92078,             0.96483,             0.91508,           0.0095269,           0.0037331,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.016716,           0.0080158,                   0,             0.97003,             0.90382,             0.96341,             0.91262,           0.0096597,           0.0038265,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.016707,           0.0081026,                   0,             0.96939,             0.91687,             0.96184,             0.91262,           0.0096986,           0.0037439,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.016282,           0.0078903,                   0,             0.96792,             0.91417,             0.96438,             0.91344,            0.009616,            0.003692,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,             0.01695,           0.0079406,                   0,             0.95963,             0.92347,             0.96611,             0.91642,           0.0095053,           0.0036247,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.016645,            0.008164,                   0,             0.95481,             0.92244,             0.96465,             0.91586,           0.0095653,           0.0036557,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.016821,           0.0081306,                   0,             0.95864,             0.91077,             0.96557,             0.91596,            0.009434,           0.0036987,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.017421,           0.0080709,                   0,             0.95948,             0.90614,             0.96394,             0.91699,           0.0096494,           0.0036754,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,            0.016154,           0.0079586,                   0,             0.97213,             0.90279,              0.9638,             0.91658,           0.0095623,           0.0036171,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.016383,           0.0079722,                   0,              0.9626,             0.90501,             0.96551,             0.91569,            0.009516,           0.0036554,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.016179,           0.0080812,                   0,             0.97401,             0.90176,              0.9649,             0.91717,            0.009373,           0.0036707,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.016463,           0.0083244,                   0,             0.94864,             0.93601,             0.96741,             0.91985,           0.0093747,           0.0035697,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.016192,           0.0079364,                   0,             0.95147,             0.93262,             0.96821,              0.9205,           0.0094226,           0.0035993,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.015353,           0.0075602,                   0,             0.95496,             0.93278,             0.96537,             0.91931,           0.0093855,           0.0036512,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.016439,            0.008185,                   0,             0.95421,             0.92668,             0.96447,              0.9193,           0.0093165,           0.0036715,                   0,           0.0074656,           0.0074656,           0.0074656
