               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.018446,           0.0086703,                   0,             0.98692,             0.98253,             0.99141,             0.90369,            0.010946,           0.0029005,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,             0.01845,           0.0089189,                   0,             0.98541,               0.985,             0.99151,             0.90421,            0.010757,           0.0029158,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.018753,           0.0087682,                   0,             0.98546,             0.98579,             0.99112,             0.91288,            0.010416,           0.0027891,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.018591,           0.0083711,                   0,               0.983,             0.99013,             0.99152,             0.90819,            0.010719,           0.0028044,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,             0.01808,           0.0086684,                   0,             0.98313,             0.98106,             0.99028,             0.90426,            0.010649,           0.0029113,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.018471,           0.0087309,                   0,             0.98538,             0.98383,             0.99116,              0.9059,            0.010582,           0.0028489,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,             0.01859,           0.0089461,                   0,             0.98612,             0.98461,             0.99182,             0.90719,            0.010612,           0.0027852,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.017921,            0.008495,                   0,             0.98237,             0.98979,             0.99194,             0.89618,            0.011144,           0.0028599,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.018392,           0.0085863,                   0,             0.98272,             0.98777,              0.9916,             0.90764,            0.010537,            0.002853,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,             0.01737,           0.0083741,                   0,             0.98328,             0.98579,             0.99192,             0.91623,            0.010381,           0.0027668,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.018215,           0.0086489,                   0,             0.98422,             0.98464,             0.99226,             0.91132,             0.01039,           0.0027219,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.018539,           0.0088747,                   0,             0.98178,             0.98421,             0.99189,             0.90888,            0.010688,           0.0027913,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.017686,           0.0085295,                   0,             0.98458,             0.98297,              0.9914,              0.9101,            0.010435,           0.0028369,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.017978,           0.0087612,                   0,             0.98374,             0.98461,             0.99181,             0.90921,            0.010458,           0.0027921,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.018241,           0.0089214,                   0,             0.98544,             0.98816,             0.99177,             0.91476,            0.010234,           0.0027422,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.018671,           0.0087637,                   0,             0.98659,             0.98705,             0.99144,             0.91753,            0.010066,           0.0026721,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.017851,           0.0084648,                   0,             0.98734,             0.98974,              0.9924,             0.91195,             0.01047,           0.0027056,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.018256,           0.0086178,                   0,             0.98292,              0.9925,             0.99184,             0.91109,            0.010284,           0.0027229,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.017574,            0.008303,                   0,             0.98792,             0.98974,             0.99215,             0.91586,            0.010013,           0.0026653,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.018764,           0.0088779,                   0,             0.98906,             0.98856,             0.99231,             0.91909,            0.009943,           0.0026515,                   0,           0.0085744,           0.0085744,           0.0085744
